"序号","单词","分类","音标","词性","中文","词源/记忆技巧","级别","常考题型","常见搭配","易混淆","例句","真题考法"
"43","salad","食物","/ˈsæləd/","n.","沙拉","Salad 来自拉丁语""盐""——古代用盐水拌蔬菜。现在 salad 是生蔬菜加酱料的冷盘。记住：salad 里有 salt（盐）的亲戚，健康又清爽！","KET 核心词汇","听力 Part 2（点餐/健康饮食）；阅读 Part 3（菜单/食谱）","green salad（蔬菜沙拉）；fruit salad（水果沙拉）；chicken salad（鸡肉沙拉）；make a salad（做沙拉）","salad（沙拉）vs soup（汤）——salad 是冷的、生的蔬菜，soup 是热汤","I'd like a salad with my lunch, please. 请给我午餐配一份沙拉。","听对话选""主菜还是配菜""，或在菜单阅读中判断 salad 里有什么"
"44","soup","食物","/suːp/","n.","汤","Soup 来自德语""喝""的意思——汤就是要用 spoon（勺子）喝！soup 和 super（超级）发音有点像：超级热的一碗 soup，暖到心里！","KET 核心词汇","听力 Part 2（餐厅/生病照顾场景）；阅读 Part 3（菜单）","a bowl of soup（一碗汤）；chicken soup（鸡汤）；tomato soup（番茄汤）；hot soup（热汤）","soup（汤）vs soap（肥皂）——soup 是喝的，soap 是洗手的；拼写差一个字母","This soup is very hot. Be careful! 这汤很烫，小心！","听录音选""点了哪种 soup""，或阅读判断 a bowl of soup 的搭配"
"45","omelette","食物","/ˈɒmlət/（英）  /ˈɑːmlət/（美）","n.","煎蛋卷； omelet（美式拼写）","Omelette 来自法语，拼写有点难！记住拆分法：ome + let + te——""哦，让我（let）特（te）地做一个蛋卷！"" 英式拼写末尾是 -ette，美式常写 omelet。","KET 核心词汇","听力 Part 2（早餐/餐厅）；阅读 Part 3（菜单/食谱）","cheese omelette（奶酪蛋卷）；make an omelette（做蛋卷）；ham omelette（火腿蛋卷）；a plain omelette（普通蛋卷）","omelette（蛋卷）vs egg（鸡蛋）——omelette 是用鸡蛋煎成的卷，egg 是原材料","I'd like a cheese omelette for breakfast. 我早餐想要一个奶酪蛋卷。","菜单阅读题考 omelette 拼写；听力判断""早餐点了什么"""
"46","pasta","食物","/ˈpæstə/","n.","意大利面；面食","Pasta 来自意大利语""面团""的意思。意大利人把面团做成各种形状——长条、螺旋、蝴蝶形，都叫 pasta！记住：pasta 和 paste（浆糊）是亲戚，都是面团做的。","KET 核心词汇","听力 Part 2（餐厅/做饭）；阅读 Part 3（菜单/各国美食）","cook pasta（煮意大利面）；pasta with sauce（配酱的意面）；fresh pasta（新鲜意面）；a plate of pasta（一盘意面）","pasta（意面）vs noodle（面条）——pasta 是意大利风格，noodle 常指亚洲面条","We had pasta for dinner last night. 我们昨晚晚餐吃了意大利面。","听对话判断""晚餐吃什么""，或在各国美食阅读中识别 pasta"
"47","cereal","食物","/ˈsɪəriəl/","n.","麦片；谷物","Cereal 来自罗马谷物女神 Ceres 的名字。早餐倒一碗 cereal，加牛奶，""咔嚓咔嚓""脆脆响！cereal 也是""谷物""的总称——小麦、玉米、燕麦都算 cereal。","KET 核心词汇","听力 Part 2（早餐场景）；阅读 Part 3（购物清单/健康饮食）","eat cereal（吃麦片）；a bowl of cereal（一碗麦片）；breakfast cereal（早餐麦片）；cereal with milk（麦片配牛奶）","cereal（麦片）vs serial（连续的）——cereal 是食物，serial 是形容词""系列的""，发音相同但拼写不同","I have cereal and milk every morning. 我每天早上吃麦片配牛奶。","听录音选""早餐吃什么""，或拼写题区分 cereal vs serial"
"48","rice","食物","/raɪs/","n.","米饭；大米","Rice 来自亚洲语言，中国和日本都吃 rice！rice 读起来像""赖斯""——米饭赖在盘子里不肯走，因为太好吃了！中国人说""吃饭""很多时候就是吃 rice。","KET 核心词汇","听力 Part 2（点餐/各国美食）；阅读 Part 3（菜单/饮食习惯）","a bowl of rice（一碗米饭）；fried rice（炒饭）；cook rice（煮饭）；rice and vegetables（米饭配蔬菜）","rice（米饭）vs rise（上升）——rice 是食物 /raɪs/，rise 是动词""升起""","We eat rice with our meals in China. 在中国，我们吃饭时配米饭。","听对话判断""主食是什么""，或在各国饮食阅读中识别 rice"
"49","meat","食物","/miːt/","n.","肉","Meat 古义是""任何食物""，现在专指""肉""。meat 和 meet（见面）发音一样——""meet""朋友一起吃 meat（肉）！牛肉 beef、猪肉 pork 都是 meat。","KET 核心词汇","听力 Part 2（点餐/购物）；阅读 Part 3（菜单/饮食习惯）","eat meat（吃肉）；a piece of meat（一块肉）；meat and vegetables（肉配蔬菜）；don't eat meat（不吃肉）","meat（肉）vs meet（见面）——同音不同义；meat（肉）vs fish（鱼）——fish 不算 meat 里的 red meat","Do you eat meat or are you vegetarian? 你吃肉还是素食？","听录音判断""点了什么主菜""，或阅读区分 meat eater / vegetarian"
"50","fish","食物","/fɪʃ/","n. / v.","鱼；钓鱼","Fish 是英语最古老的词之一！做名词是""鱼""，做动词是""钓鱼""（go fishing）。一条鱼是 a fish，两条还是 fish（不是 fishes）——fish 的单复数常常一样！","KET 核心词汇","听力 Part 2（点餐/宠物/爱好）；阅读 Part 3（菜单/动物话题）","eat fish（吃鱼）；go fishing（去钓鱼）；a piece of fish（一块鱼肉）；fish and chips（炸鱼薯条）","fish（鱼/鱼肉）vs meat（肉）——fish 来自水里，meat 通常指陆地动物的肉","I'd like the fish, please. 请给我来一份鱼。","听对话选""主菜是 fish 还是 meat""，或阅读判断 fish and chips 是哪个国家的食物"
"51","chicken","熟食","/ˈtʃɪkɪn/","n.","鸡肉；鸡","Chicken 来自古英语，和小鸡""叽叽""叫的声音有关！它有两个意思：活的""鸡""和餐桌上的""鸡肉""。记住：chick 是小鸡，加上 -en 就变成 chicken——从毛茸茸的小鸡到香喷喷的鸡腿！","KET 核心词汇","听力 Part 2（餐厅点餐/超市购物）；阅读 Part 3（菜单/食谱）","fried chicken（炸鸡）；chicken soup（鸡汤）；chicken and rice（鸡肉饭）；roast chicken（烤鸡）","chicken（鸡肉/鸡）vs hen（母鸡）——chicken 泛指鸡和鸡肉，hen 专指成年母鸡","I'd like some chicken for lunch. 我午餐想吃点鸡肉。","听对话选""点了什么主菜""，或在菜单阅读中判断哪道菜含 chicken"
"52","sandwich","熟食","/ˈsænwɪtʃ/（英）  /ˈsænwɪtʃ/（美）","n.","三明治","传说 18 世纪英国有位 Sandwich 伯爵，他打牌时太专心，不想离开牌桌吃饭，就让仆人把肉夹在两片面包中间，方便一手拿着吃。朋友们笑说：""这就是 Sandwich 伯爵的三明治！""从此 sandwich 这个名字就传遍了全世界！","KET 核心词汇","听力 Part 2（午餐/野餐场景）；阅读 Part 3（学校食堂菜单）","a cheese sandwich（奶酪三明治）；make a sandwich（做三明治）；ham sandwich（火腿三明治）；chicken sandwich（鸡肉三明治）","sandwich（三明治）vs burger（汉堡）——sandwich 用两片面包夹馅，burger 通常是圆面包夹肉饼","I had a sandwich for lunch today. 我今天午餐吃了一个三明治。","听录音判断""午餐吃了什么""，或在阅读菜单中选出 sandwich 的配料"
"53","biscuit","熟食","/ˈbɪskɪt/（英）  /ˈbɪskɪt/（美）","n.","饼干（英）；小圆面包（美）","Biscuit 来自法语，意思是""烤两次""——古代饼干要烤两遍才又脆又耐存。在英式英语里 biscuit 就是我们吃的""饼干""；在美式英语里却指""小圆面包""！记住：英国人喝茶配 biscuit，美国人早餐吃 biscuit。","KET 核心词汇","听力 Part 2（下午茶/零食场景）；阅读 Part 3（英式生活描述）","a packet of biscuits（一包饼干）；chocolate biscuit（巧克力饼干）；biscuit and tea（饼干配茶）；digestive biscuit（消化饼干）","biscuit（英=饼干）vs cookie（美=曲奇饼干）——KET 偏英式，biscuit 指普通硬饼干；cookie 通常更软、更大","Would you like a biscuit with your tea? 你要不要来块饼干配茶？","听英式对话选""配茶的小点心""，或在阅读中区分 biscuit 和 cookie 的用法"
"54","chip","熟食","/tʃɪp/","n.","薯条（英）；薯片（美）","Chip 原意是""碎片、小片""。同一个词，英国人想到 fish and chips（炸鱼薯条）里的粗薯条，美国人想到袋装的 potato chips（薯片）！记住口诀：英国 chip 是""条""，美国 chip 是""片""——看你在哪个国家吃！","KET 核心词汇","听力 Part 2（快餐/英式小吃）；阅读 Part 3（英美文化差异）","fish and chips（炸鱼薯条，英）；potato chips（薯片，美）；a bag of chips（一袋薯片/薯条）；crisps（英式""薯片""）","chip（英=薯条）vs crisp（英=薯片）——在英国说 chips 是粗薯条，crisps 才是袋装薯片；美国用 chips 指薯片","In Britain, people love fish and chips. 在英国，人们最爱炸鱼薯条。","阅读题考英美差异：fish and chips 里的 chips 是薯条不是薯片"
"55","burger","熟食","/ˈbɜːɡə/（英）  /ˈbɜːrɡər/（美）","n.","汉堡","Burger 是 hamburger 的缩写，来自德国汉堡市（Hamburg）！最早是""汉堡肉饼""，后来夹进圆面包里，就成了我们熟悉的汉堡包。记住：burg 像""堡""，er 像""儿""——汉堡儿，burger！","KET 核心词汇","听力 Part 2（快餐店点餐）；阅读 Part 3（菜单/广告）","cheeseburger（奶酪汉堡）；chicken burger（鸡肉汉堡）；burger and fries（汉堡配薯条）；fast-food burger（快餐汉堡）","burger（汉堡）vs sandwich（三明治）——burger 用圆面包夹肉饼，sandwich 用切片面包夹各种馅料","Can I have a cheeseburger, please? 请给我一个奶酪汉堡好吗？","听快餐店对话选""点了哪种 burger""，或在菜单阅读中匹配价格和名称"
"56","sausage","熟食","/ˈsɒsɪdʒ/（英）  /ˈsɔːsɪdʒ/（美）","n.","香肠","Sausage 来自拉丁语""用盐保存的肉""。古代人们把碎肉塞进肠衣里，加盐腌制，就成了香肠。英式早餐里常出现 sausage——想象一根红彤彤的""索（sau）""引你""食（sage）""的肉肠！","KET 核心词汇","听力 Part 2（英式早餐/烧烤场景）；阅读 Part 3（食谱/菜单）","pork sausage（猪肉香肠）；sausage and eggs（香肠配鸡蛋）；grilled sausage（烤香肠）；a sausage roll（香肠卷）","sausage（香肠）vs hot dog（热狗）——sausage 是香肠本身，hot dog 是香肠夹在长面包里","We had sausages for breakfast. 我们早餐吃了香肠。","听录音判断""英式早餐有什么""，或在阅读食谱中选出含 sausage 的菜品"
"57","steak","熟食","/steɪk/","n.","牛排；肉排","Steak 来自古北欧语，意思是""大块烤肉""。字母组合 ea 读 /eɪ/，和 break、great 一样。想象一块厚厚实实的肉""steak""在铁板上滋滋作响——又香又贵的大肉排！","PET 核心词汇","听力 Part 2（餐厅点餐）；阅读 Part 3（菜单/高档餐厅描述）","beef steak（牛排）；grilled steak（烤牛排）；steak and chips（牛排配薯条）；well-done steak（全熟牛排）","steak（牛排）vs stick（棍子）——steak 是食物读 /steɪk/，stick 是木棍读 /stɪk/，拼写差一个 e","My dad ordered a steak at the restaurant. 我爸爸在餐厅点了一份牛排。","听餐厅对话判断""主菜是什么""，或在阅读菜单中匹配 steak 的烹饪方式"
"58","ice cream","熟食","/ˌaɪs ˈkriːm/","n.","冰淇淋","Ice cream 是两个词组成的复合词：ice（冰）+ cream（奶油）= 冰奶油！古代人们把奶油和冰混在一起，就发明了冰淇淋。记住：写的时候要写两个词 ice cream，中间有空格，不能写成 icecream！","KET 核心词汇","听力 Part 2（甜品/夏天活动）；阅读 Part 3（派对/野餐描述）","a bowl of ice cream（一碗冰淇淋）；chocolate ice cream（巧克力冰淇淋）；ice cream cone（甜筒）；vanilla ice cream（香草冰淇淋）","ice cream（冰淇淋，两词）vs ice-cream（作定语时可加连字符，如 ice-cream shop）——名词通常写 ice cream 两个词","I'd like a chocolate ice cream, please. 请给我一个巧克力冰淇淋。","拼写题考 ice cream 是两个词；听力中选""派对上供应什么甜品"""
"59","main","熟食","/meɪn/","adj. / n.","主要的；主菜","Main 来自拉丁语 magnus（大的），和 many（许多）、mayor（市长）是亲戚！在餐厅里，main course 就是""主菜""——最重要、最大份的那道菜。记住：main 像""门""——进门第一眼看的就是 main dish（主菜）！","KET 核心词汇","听力 Part 2（餐厅点餐）；阅读 Part 3（菜单分类：starter / main / dessert）","main course（主菜）；main dish（主菜）；main meal（正餐）；the main reason（主要原因）","main course（主菜）vs starter（前菜）——starter 是开胃前菜，main course 是正餐主菜，dessert 是甜品","For my main course, I'll have the chicken. 主菜我要鸡肉。","阅读菜单题：区分 starter、main course 和 dessert 分别是什么"
"60","butter","熟食","/ˈbʌtə/（英）  /ˈbʌtər/（美）","n.","黄油","Butter 来自古英语，和拉丁语""牛""有关——黄油是用牛奶做的！想象早餐面包上涂一层黄黄的 butter，""butter""读起来像""巴特""——巴特最爱在面包上抹黄油！","KET 核心词汇","听力 Part 2（购物清单/做面包）；阅读 Part 3（食谱配料）","bread and butter（面包黄油）；a piece of butter（一块黄油）；peanut butter（花生酱）；melted butter（融化的黄油）","butter（黄油）vs batter（面糊）——butter 是黄色涂抹酱，batter 是做蛋糕用的稀面糊","Spread some butter on the bread. 在面包上涂一些黄油。","听购物对话判断""还需要买什么""，或在食谱阅读中选出所需配料"
"61","oil","熟食","/ɔɪl/","n.","油","Oil 来自拉丁语 oleum（油），和 olive（橄榄）是亲戚——橄榄油就是 olive oil！做饭用的 cooking oil 滑溜溜的，字母 o 和 i 连在一起读 /ɔɪ/，像""哦咦""——哦，油好滑！","KET 核心词汇","听力 Part 2（厨房/做菜场景）；阅读 Part 3（食谱/健康建议）","cooking oil（食用油）；olive oil（橄榄油）；vegetable oil（植物油）；a little oil（一点油）","oil（油）vs boil（沸腾）——oil 是名词""油""，boil 是动词""煮沸""，拼写不同","Add a little oil to the pan. 往锅里加一点点油。","阅读食谱题：判断做菜第一步是否""加油加热"""
"62","candy","熟食","/ˈkændi/","n.","糖果（美式）","Candy 来自阿拉伯语 qandi（糖），和 sugar 一样都和""甜""有关！在美国，candy 指各种糖果；在英国，人们更常说 sweet 或 sweets。记住：candy 像""看弟""——看，弟弟在吃 candy（糖果）！","KET 核心词汇","听力 Part 2（购物/派对）；阅读 Part 3（美式生活/万圣节场景）","candy bar（糖果棒）；a bag of candy（一袋糖果）；candy shop（糖果店）；Halloween candy（万圣节糖果）","candy（美式糖果）vs sweet（英式糖果）——美国说 candy，英国说 sweets；candy 不可数，a piece of candy 表一颗","The children got lots of candy at the party. 孩子们在派对上得到了很多糖果。","阅读美式文本时，candy 指糖果；注意与 sweet/sweets 的英式用法区别"
"63","cheese","熟食","/tʃiːz/","n.","奶酪","Cheese 来自拉丁语 caseus（奶酪）。拍照时人们喊""Cheese!""因为发音时嘴角上扬像在笑！奶酪 cheese 黄黄的、香香的，和 cheeseburger（奶酪汉堡）、cheese sandwich（奶酪三明治）是绝配。","KET 核心词汇","听力 Part 2（做三明治/披萨）；阅读 Part 3（购物清单/菜单）","a piece of cheese（一块奶酪）；cheese sandwich（奶酪三明治）；grated cheese（碎奶酪）；cheese pizza（奶酪披萨）","cheese（奶酪）vs butter（黄油）——cheese 是固体发酵乳制品，butter 是牛奶提炼的涂抹脂","I like cheese on my pizza. 我喜欢披萨上加奶酪。","听对话判断""三明治里加了什么""，或在购物清单阅读中勾选 cheese"
"64","grape","调味","/ɡreɪp/","n.","葡萄","Grape 来自古法语，和""钩""有关——古代用带钩的工具摘葡萄。一串 grape 圆滚滚、紫莹莹，grape 读起来像""格雷普""——格雷普最爱吃 grape（葡萄）！","KET 核心词汇","听力 Part 2（水果/健康饮食）；阅读 Part 3（水果描述/购物）","a bunch of grapes（一串葡萄）；grape juice（葡萄汁）；green grapes（青葡萄）；red grapes（红葡萄）","grape（葡萄）vs grapefruit（柚子）——grape 是小圆葡萄，grapefruit 是大个的柚子，完全不同","She ate a bunch of grapes after school. 她放学后吃了一串葡萄。","听录音选""喜欢哪种水果""，或在阅读中区分 grape 和 grapefruit"
"65","chilli","调味","/ˈtʃɪli/（英）  /ˈtʃɪli/（美）","n.","辣椒","Chilli 来自墨西哥土著语言 Nahuatl 的 chilli，意思是""辣椒""！英国人拼 chilli（双 l），美国人常拼 chili（单 l）。吃一口 chilli，嘴巴""嘶嘶""冒火——chilli 就是让你又爽又辣的小红果！","PET 核心词汇","听力 Part 2（做菜/点餐）；阅读 Part 3（食谱/各国美食）","hot chilli（辣辣椒）；chilli pepper（辣椒）；add some chilli（加点辣椒）；chilli sauce（辣椒酱）","chilli（辣椒）vs pepper（甜椒/胡椒）——chilli 通常指辣的辣椒，pepper 可指甜椒或胡椒粉","This curry is too hot — there's too much chilli! 这咖喱太辣了——辣椒放太多了！","阅读食谱判断""什么让菜变辣""，或在菜单描述中识别 spicy / chilli"
"66","curry","调味","/ˈkʌri/","n.","咖喱","Curry 来自泰米尔语 kari，意思是""酱""。印度厨师把各种香料混在一起煮成浓浓的 curry，香飘万里！记住：curry 读起来像""咖哩""——咖哩饭就是 curry with rice！","PET 核心词汇","听力 Part 2（各国餐厅点餐）；阅读 Part 3（印度/泰国美食介绍）","chicken curry（咖喱鸡）；curry and rice（咖喱配饭）；curry powder（咖喱粉）；vegetable curry（蔬菜咖喱）","curry（咖喱菜）vs curry powder（咖喱粉）——curry 是一道菜或酱，curry powder 是调味料粉末","We had chicken curry for dinner. 我们晚餐吃了咖喱鸡。","听餐厅对话判断""点了哪国菜""，或在阅读中匹配 curry 的配料"
"67","pepper","调味","/ˈpepə/（英）  /ˈpepər/（美）","n.","胡椒；甜椒","Pepper 有两个常见意思：黑胡椒粉（black pepper）和彩甜椒（red/green pepper）！它来自拉丁语 piper（胡椒）。想象""pépè（爷爷）""在厨房撒 pepper——既可能是胡椒粉，也可能是红甜椒！","KET 核心词汇","听力 Part 2（做菜/调味）；阅读 Part 3（食谱/购物清单）","black pepper（黑胡椒）；salt and pepper（盐和胡椒）；red pepper（红椒）；pepper shaker（胡椒瓶）","pepper（甜椒/胡椒）vs chilli（辣椒）——pepper 的甜椒不辣，chilli 才辣；black pepper 是粉末调料","Can you pass the salt and pepper, please? 请把盐和胡椒递给我好吗？","阅读食谱选""需要什么调料""，或听对话判断""要 salt 还是 pepper"""
"68","salt","调味","/sɔːlt/（英）  /sɔːlt/（美）","n.","盐","Salt 来自古英语 sealt，和人类历史一样古老——古代盐非常珍贵！salt 和 sweet（甜）正好相反：一个咸，一个甜。记住：salt 像""索特""——索特在汤里加了一勺 salt（盐）！","KET 核心词汇","听力 Part 2（厨房/做菜）；阅读 Part 3（食谱/健康建议）","salt and pepper（盐和胡椒）；a pinch of salt（一撮盐）；too much salt（盐太多）；sea salt（海盐）","salt（盐）vs sugar（糖）——salt 咸咸的调味品，sugar 甜甜的；两者都是白色颗粒但味道相反","Add a little salt to the soup. 往汤里加一点点盐。","阅读健康文章判断""哪种食物含 salt 太多""，或食谱题选正确调料"
"69","sauce","调味","/sɔːs/","n.","酱；酱汁","Sauce 来自拉丁语 salsus（加盐的），和 salt（盐）是亲戚！酱汁就是加了各种调料的""液体美味""。tomato sauce（番茄酱）、soy sauce（酱油）——sauce 就是让食物更好吃的""魔法液体""！","KET 核心词汇","听力 Part 2（餐厅/做菜）；阅读 Part 3（菜单/食谱）","tomato sauce（番茄酱）；soy sauce（酱油）；pasta sauce（意面酱）；hot sauce（辣酱）","sauce（酱）vs source（来源）——sauce 是食物酱汁读 /sɔːs/，source 是""来源""读 /sɔːs/ 但拼写不同","I like pasta with tomato sauce. 我喜欢番茄酱意面。","听对话判断""意面配什么酱""，或在菜单阅读中识别不同 sauce 名称"
"70","sugar","调味","/ˈʃʊɡə/（英）  /ˈʃʊɡər/（美）","n.","糖","Sugar 来自阿拉伯语 sukkar，通过贸易路线传到欧洲。sugar 和 sweet（甜）是好搭档——加了 sugar 的东西就变 sweet 了！记住：sugar 开头 sh 读 /ʃ/，像""书格""——书格里的 sugar 甜丝丝！","KET 核心词汇","听力 Part 2（做饮料/烘焙）；阅读 Part 3（健康/食谱）","a spoon of sugar（一勺糖）；too much sugar（糖太多）；sugar and milk（糖和牛奶）；brown sugar（红糖）","sugar（糖）vs salt（盐）——sugar 甜，salt 咸；做蛋糕用 sugar，做菜调味用 salt","Do you take sugar in your tea? 你喝茶加糖吗？","听对话判断""咖啡里加什么""，或阅读健康文章判断""sugar 摄入是否过多"""
"71","sweet","蔬菜水果","/swiːt/","adj. / n.","甜的；糖果（英式）","Sweet 来自古英语 swete（甜的），和 sugar 一样都和""甜""有关！它有两个身份：形容词""甜的""（sweet cake 甜蛋糕）和英式名词""糖果""（a bag of sweets 一袋糖果）。记住：sweet 既是味道，也是英国小朋友最爱的零食！","KET 核心词汇","听力 Part 2（描述味道/购物）；阅读 Part 3（英式生活/派对）","sweet food（甜食）；too sweet（太甜）；a bag of sweets（一袋糖果，英式）；sweet tooth（爱吃甜食）","sweet（英式糖果，复数 sweets）vs candy（美式糖果）——英国说 sweets，美国说 candy；sweet 作形容词=甜的","This cake is very sweet. 这蛋糕很甜。 / The shop sells sweets and chocolate. 这家店卖糖果和巧克力。","词性转换题：sweet 作形容词还是名词；阅读英式文本中 sweets 指""糖果""不是""甜的"""
"72","vegetable","蔬菜水果","/ˈvedʒtəbl/（英）  /ˈvedʒtəbl/（美）","n.","蔬菜","Vegetable 来自拉丁语 vegetare（生长），和""植物""有关！蔬菜就是可以吃的植物部分。拼写很长，可以拆成 vege（像 veggie 素食）+ table（桌子）——餐桌上的 vege 就是 vegetable（蔬菜）！","KET 核心词汇","听力 Part 2（健康饮食/购物）；阅读 Part 3（营养/食谱）","fresh vegetables（新鲜蔬菜）；eat more vegetables（多吃蔬菜）；vegetable soup（蔬菜汤）；green vegetables（绿色蔬菜）","vegetable（蔬菜）vs fruit（水果）——vegetable 是菜（如 carrot、onion），fruit 是水果（如 apple、grape）","You should eat five portions of fruit and vegetables a day. 你每天吃五份水果和蔬菜。","阅读健康建议题：判断哪些是 vegetables；听力购物清单勾选蔬菜类"
"73","carrot","蔬菜水果","/ˈkærət/","n.","胡萝卜","Carrot 来自希腊语 karōton（胡萝卜）。胡萝卜是橙色的，兔子最爱吃！carrot 读起来像""凯瑞特""——凯瑞特喂兔子一根 carrot。注意拼写：中间是 double r（两个 r）！","KET 核心词汇","听力 Part 2（购物/做沙拉）；阅读 Part 3（蔬菜列表/食谱）","a fresh carrot（一根新鲜胡萝卜）；carrot soup（胡萝卜汤）；grated carrot（胡萝卜丝）；carrot and stick（胡萝卜加大棒，引申义）","carrot（胡萝卜）vs parrot（鹦鹉）——carrot 是橙色蔬菜，parrot 是会说话的鸟，拼写差一个 p","Rabbits love eating carrots. 兔子最爱吃胡萝卜。","拼写题考 carrot 的双 r；阅读蔬菜分类题判断 carrot 属于 vegetable"
"74","onion","蔬菜水果","/ˈʌnjən/","n.","洋葱","Onion 来自拉丁语 unio（单一），因为洋葱是圆圆的""一个整体""。切 onion 时常常会流眼泪！记住：onion 读起来像""阿尼恩""——阿尼恩切 onion 时眼泪哗哗流！","KET 核心词汇","听力 Part 2（做菜/购物）；阅读 Part 3（食谱/厨房场景）","chop an onion（切洋葱）；fried onion（炒洋葱）；onion soup（洋葱汤）；a large onion（一个大洋葱）","onion（洋葱）vs union（联盟）——onion 是蔬菜，union 是""联合/联盟""，发音相近但意思完全不同","Chop the onion before you cook the meat. 做肉之前先把洋葱切好。","听做菜步骤排序：何时 chop the onion；阅读食谱勾选所需蔬菜"
"75","potato","蔬菜水果","/pəˈteɪtəʊ/（英）  /pəˈteɪtoʊ/（美）","n.","土豆","Potato 来自西班牙语 patata，原产于南美洲。它是高频词也是拼写陷阱：复数要加 -es 变成 potatoes（不是 potatos）！因为以 o 结尾的某些词复数加 -es。记住：一个 potato，两个 potatoes——o 后面跟 es！","KET 核心词汇","听力 Part 2（做菜/购物）；阅读 Part 3（拼写/食谱）","mashed potato（土豆泥）；baked potato（烤土豆）；potato chips（美式薯片）；a bag of potatoes（一袋土豆）","potato（土豆，复数 potatoes）vs tomato（番茄，复数 tomatoes）——两者复数都加 -es，是 KET 常考拼写点","We need three potatoes for the soup. 我们做汤需要三个土豆。","拼写题考 potatoes 复数加 -es；听力购物场景判断""买了几个 potato"""
"76","tomato","蔬菜水果","/təˈmɑːtəʊ/（英）  /təˈmeɪtoʊ/（美）","n.","番茄；西红柿","Tomato 来自西班牙语，原意是""大李子""。英国人读""特-马-头""，美国人读""特-梅-头""，发音差很多！复数要加 -es 变成 tomatoes，因为以 o 结尾的单词很多都这样——potato → potatoes，hero → heroes。","KET 核心词汇","听力 Part 2（超市购物/做菜）；阅读 Part 3（食谱/菜单）","tomato soup（番茄汤）；cherry tomato（小番茄）；tomato sauce（番茄酱）；fresh tomatoes（新鲜番茄）","tomato（番茄）vs potato（土豆）——tomato 是红的做沙拉，potato 是土豆做薯条；复数都是加 -es","I put two tomatoes in the salad. 我在沙拉里放了两个番茄。","听购物对话选""买了什么蔬菜""，或阅读食谱判断需要几个 tomatoes"
"77","mushroom","蔬菜水果","/ˈmʌʃruːm/（英）  /ˈmʊʃruːm/（美）","n.","蘑菇","Mushroom 可以拆成 mush + room——""蘑菇的小房间""！蘑菇像一把小伞，躲在阴湿的地方，就像住在自己的小房间里。Mush 还有""软软糊糊""的意思，刚采的蘑菇摸起来软软的，很好记！","KET 核心词汇","听力 Part 2（做饭/野餐）；阅读 Part 3（食物描述/森林场景）","fried mushrooms（炒蘑菇）；mushroom soup（蘑菇汤）；pick mushrooms（采蘑菇）；a slice of mushroom（一片蘑菇）","mushroom（蘑菇）vs room（房间）——mushroom 是食物，room 是房间；记住 mush+room 只是拆分记忆法","We had mushroom pizza for dinner. 我们晚餐吃了蘑菇披萨。","听对话选""披萨上有什么配料""，或在阅读野餐文章中找出含 mushroom 的菜品"
"78","fruit","蔬菜水果","/fruːt/","n.","水果","Fruit 和 friend 开头都是 fr，可以联想：朋友（friend）请你吃新鲜水果（fruit）！作""水果""总称时通常不可数，说 some fruit 不说 a fruit（表种类时可以说 an apple is a fruit）。","KET 核心词汇","听力 Part 2（健康饮食/购物）；阅读 Part 3（营养建议/市场描述）","fresh fruit（新鲜水果）；fruit juice（果汁）；eat more fruit（多吃水果）；a piece of fruit（一份水果）","fruit（水果，总称常不可数）vs vegetable（蔬菜）——fruit 是甜的、有籽的，vegetable 是蔬菜类","You should eat fruit every day. 你应该每天吃水果。","阅读健康建议题判断""每天该吃什么""，或听力中选""买了什么健康食品"""
"79","melon","蔬菜水果","/ˈmelən/","n.","甜瓜；瓜","Melon 来自希腊语，意思是""苹果大小的瓜""。夏天切开 melon，里面是红红或黄黄的，又甜又多汁！Watermelon（西瓜）= water + melon，就是""水分超多的瓜""。","KET 核心词汇","听力 Part 2（夏日野餐/水果店）；阅读 Part 3（季节食物描述）","watermelon（西瓜）；a slice of melon（一片甜瓜）；sweet melon（甜瓜）；melon juice（甜瓜汁）","melon（甜瓜/瓜）vs lemon（柠檬）——melon 是大圆的甜瓜，lemon 是小酸柠檬","This melon is very sweet and juicy. 这个甜瓜又甜又多汁。","听野餐对话选""带了什么水果""，或在阅读中区分 melon 和 lemon"
"80","garlic","蔬菜水果","/ˈɡɑːlɪk/（英）  /ˈɡɑːrlɪk/（美）","n.","大蒜；蒜","Garlic 来自古英语，gar 是""矛""，lic 是""菜""——蒜瓣尖尖的，像一把小矛！做菜时加 garlic 特别香，但口气也会很重。记住：gar 像""嘎""，lic 像""力克""——嘎力克，大蒜力克细菌！","KET 核心词汇","听力 Part 2（做菜/餐厅）；阅读 Part 3（食谱/意大利菜描述）","a clove of garlic（一瓣蒜）；garlic bread（蒜香面包）；add some garlic（加点蒜）；garlic sauce（蒜蓉酱）","garlic（大蒜）vs onion（洋葱）——garlic 瓣小、味冲，onion 是大圆的、切了会流泪","Add two cloves of garlic to the soup. 往汤里加两瓣蒜。","阅读食谱题选""需要什么调料""，或听力中判断""做菜加了什么"""
